timestamp,employee_id,system_accessed,action,bytes_transferred
2024-09-01 03:29:00,EMP-0002,Customer_CRM,View,104136
2024-09-01 06:07:00,EMP-0102,Inventory_DB,View,62562
2024-09-01 06:19:00,EMP-0016,Routing_Portal,Query,68159
2024-09-01 06:31:00,EMP-0046,Routing_Portal,Query,60076
2024-09-01 07:03:00,EMP-0130,Routing_Portal,Query,63022
2024-09-01 07:16:00,EMP-0136,Inventory_DB,Query,43613
2024-09-01 07:34:00,EMP-0061,Inventory_DB,View,33038
2024-09-01 08:02:00,EMP-0019,Routing_Portal,Download,18029826
2024-09-01 08:13:00,EMP-0097,Inventory_DB,View,9636
2024-09-01 08:28:00,EMP-0138,HR_Portal,View,64802
2024-09-01 08:45:00,EMP-0027,Inventory_DB,Query,60576
2024-09-01 09:06:00,EMP-0146,Inventory_DB,Query,38219
2024-09-01 09:16:00,EMP-0058,Inventory_DB,View,53773
2024-09-01 09:31:00,EMP-0051,Customer_CRM,Query,34822
2024-09-01 09:34:00,EMP-0080,HR_Portal,View,31335
2024-09-01 09:41:00,EMP-0005,Inventory_DB,View,69101
2024-09-01 09:43:00,EMP-0074,Financial_Ledger,View,53815
2024-09-01 09:57:00,EMP-0026,Financial_Ledger,View,89575
2024-09-01 10:04:00,EMP-0107,Customer_CRM,View,102119
2024-09-01 10:13:00,EMP-0019,Inventory_DB,View,63670
2024-09-01 10:17:00,EMP-0029,Routing_Portal,Download,16513327
2024-09-01 10:28:00,EMP-0073,Financial_Ledger,Download,23468614
2024-09-01 10:43:00,EMP-0119,Routing_Portal,Query,15878
2024-09-01 10:50:00,EMP-0041,Inventory_DB,Query,26817
2024-09-01 11:03:00,EMP-0072,Customer_CRM,Query,47303
2024-09-01 11:10:00,EMP-0015,Financial_Ledger,View,57810
2024-09-01 11:20:00,EMP-0012,Routing_Portal,View,53338
2024-09-01 11:29:00,EMP-0022,Routing_Portal,View,53690
2024-09-01 11:37:00,EMP-0135,Routing_Portal,Query,66154
2024-09-01 11:51:00,EMP-0026,Financial_Ledger,View,51459
2024-09-01 12:00:00,EMP-0041,Inventory_DB,View,62775
2024-09-01 12:09:00,EMP-0032,Financial_Ledger,View,56592
2024-09-01 12:14:00,EMP-0058,Customer_CRM,Query,40057
2024-09-01 12:25:00,EMP-0002,Routing_Portal,View,34918
2024-09-01 12:34:00,EMP-0022,Routing_Portal,Query,31131
2024-09-01 12:46:00,EMP-0064,HR_Portal,View,59695
2024-09-01 13:01:00,EMP-0093,Inventory_DB,View,47664
2024-09-01 13:03:00,EMP-0114,Customer_CRM,Query,88035
2024-09-01 13:17:00,EMP-0003,Inventory_DB,View,54762
2024-09-01 13:21:00,EMP-0102,Routing_Portal,Query,89933
2024-09-01 13:33:00,EMP-0016,Inventory_DB,View,30134
2024-09-01 13:42:00,EMP-0112,Routing_Portal,View,53935
2024-09-01 13:51:00,EMP-0085,Financial_Ledger,Query,27267
2024-09-01 14:02:00,EMP-0061,Inventory_DB,Query,50007
2024-09-01 14:10:00,EMP-0065,Routing_Portal,Query,70519
2024-09-01 14:15:00,EMP-0010,Inventory_DB,View,46868
2024-09-01 14:25:00,EMP-0075,Inventory_DB,View,49368
2024-09-01 14:31:00,EMP-0065,Inventory_DB,View,62996
2024-09-01 14:43:00,EMP-0087,Customer_CRM,View,93096
2024-09-01 14:48:00,EMP-0027,Routing_Portal,Query,37794
2024-09-01 14:59:00,EMP-0129,Customer_CRM,View,34893
2024-09-01 15:13:00,EMP-0135,Customer_CRM,Query,43071
2024-09-01 15:18:00,EMP-0109,Inventory_DB,Download,15735133
2024-09-01 15:33:00,EMP-0046,Routing_Portal,View,40411
2024-09-01 15:47:00,EMP-0138,Routing_Portal,Export,17793847
2024-09-01 15:53:00,EMP-0138,Inventory_DB,View,70496
2024-09-01 15:57:00,EMP-0147,Routing_Portal,View,31482
2024-09-01 16:06:00,EMP-0021,Inventory_DB,View,87257
2024-09-01 16:20:00,EMP-0068,HR_Portal,View,27323
2024-09-01 16:25:00,EMP-0126,Financial_Ledger,View,62209
2024-09-01 16:30:00,EMP-0071,HR_Portal,Query,57720
2024-09-01 16:42:00,EMP-0088,HR_Portal,View,91680
2024-09-01 16:51:00,EMP-0030,Customer_CRM,Query,42469
2024-09-01 17:01:00,EMP-0120,Inventory_DB,View,54606
2024-09-01 17:10:00,EMP-0082,Inventory_DB,Export,18406046
2024-09-01 17:21:00,EMP-0126,Financial_Ledger,View,70702
2024-09-01 17:33:00,EMP-0032,HR_Portal,Query,49376
2024-09-01 17:43:00,EMP-0144,Routing_Portal,View,88798
2024-09-01 17:57:00,EMP-0133,Financial_Ledger,View,29896
2024-09-01 18:02:00,EMP-0096,Routing_Portal,View,35164
2024-09-01 18:17:00,EMP-0117,Routing_Portal,View,53742
2024-09-01 18:49:00,EMP-0094,Inventory_DB,Download,11335774
2024-09-01 19:08:00,EMP-0132,Inventory_DB,View,22341
2024-09-01 19:35:00,EMP-0030,Inventory_DB,View,79649
2024-09-01 20:04:00,EMP-0066,Inventory_DB,Download,19807290
2024-09-01 20:44:00,EMP-0104,Routing_Portal,Query,7175
2024-09-01 22:35:00,EMP-0021,Customer_CRM,Query,69851
2024-09-01 22:54:00,EMP-0072,Inventory_DB,Query,73844
