transaction_id,account_id,timestamp,transaction_type,amount_myr
32e146d5-731d-480b-9f5d-45978eee0e97,ACCT-0297,2025-01-01 13:00:00,Card Swipe,101.91
4d9132ed-2d47-4cc5-a360-b3a0504334bf,ACCT-0069,2025-01-02 13:00:00,Bill Payment,271.05
55f95b1c-5fd3-41ec-868f-4bd3e5683327,ACCT-0213,2025-01-03 12:00:00,Top-Up,246.92
345c8add-fd9e-4fd7-aae8-3229076ccb6a,ACCT-0273,2025-01-03 19:00:00,Bill Payment,139.47
8bc19578-a045-477e-9bd8-b7e91bf40fa6,ACCT-0077,2025-01-04 08:00:00,Card Swipe,7.59
0d9e0b39-c526-4674-b3b2-4b1eab63d087,ACCT-0247,2025-01-04 12:00:00,Card Swipe,80.22
c92cdafc-6193-4770-b7dd-ca91019c580e,ACCT-0297,2025-01-05 16:00:00,Peer-to-Peer Transfer,98.16
20b0a839-7562-4530-a769-0c8c2e388073,ACCT-0072,2025-01-06 11:00:00,Card Swipe,132.92
e286cd6e-a2ee-4cbb-a9ee-14958dbf5cc8,ACCT-0273,2025-01-06 11:00:00,Bill Payment,71.96
66a86d9b-e0ad-4c3b-8de1-23c9d421cedf,ACCT-0077,2025-01-06 15:00:00,Bill Payment,157.5
153461f8-cd5f-432f-9e4b-231ab85eb1cf,ACCT-0098,2025-01-07 11:00:00,Top-Up,977.35
fce711dc-cd34-40bf-b8d1-81d5949eed4e,ACCT-0283,2025-01-07 16:00:00,Top-Up,168.8
ffcb8af2-e133-475c-b18d-b00310a9987c,ACCT-0247,2025-01-07 16:00:00,Peer-to-Peer Transfer,102.04
fcdb9d3a-8168-4e84-b55a-771d675313e3,ACCT-0297,2025-01-07 20:00:00,Top-Up,401.42
3ddbed91-469a-4cf5-a3fc-6395687825ee,ACCT-0098,2025-01-08 14:00:00,Peer-to-Peer Transfer,84.26
1af5ced4-8140-4839-ba49-982c4a740719,ACCT-0105,2025-01-08 14:00:00,Bill Payment,197.04
ea41a429-2c21-4a52-a5a7-3795ae54eead,ACCT-0069,2025-01-08 19:00:00,Card Swipe,128.05
5c630d96-70eb-4486-820e-3d27b55486ea,ACCT-0098,2025-01-09 08:00:00,Card Swipe,114.42
7b160010-078d-4b05-8463-842a13170f65,ACCT-0077,2025-01-09 09:00:00,Peer-to-Peer Transfer,42.34
ed9ec8ce-6366-4d77-8b6b-7c55abc79b03,ACCT-0281,2025-01-09 18:00:00,Card Swipe,74.05
b380c5e6-c4fb-4ba6-b14a-72bbf995137c,ACCT-0263,2025-01-09 19:00:00,Peer-to-Peer Transfer,78.19
500dbdce-44f2-44c2-bc1e-b8c09b245ec4,ACCT-0103,2025-01-10 09:00:00,Bill Payment,237.96
22a6ceac-8ddd-42bb-ae56-62d46299033a,ACCT-0052,2025-01-10 13:00:00,Peer-to-Peer Transfer,73.33
60b294fc-525f-4758-9ba6-0aa2b4c4df58,ACCT-0141,2025-01-10 15:00:00,Card Swipe,117.62
9303d920-0a95-4822-a912-1037f182baf5,ACCT-0297,2025-01-10 17:00:00,Bill Payment,213.43
75a1e7c9-8528-41cd-aff1-cbcec41d956b,ACCT-0247,2025-01-10 20:00:00,Top-Up,829.19
3077e307-cfb5-42ff-af64-fd36fae6bf02,ACCT-0273,2025-01-11 09:00:00,Card Swipe,91.51
bbec8aff-dd73-4f1b-aa76-17abd6d9901a,ACCT-0009,2025-01-12 09:00:00,Bill Payment,75.99
6eea3c07-2f66-47aa-a1ea-49a0b242a95c,ACCT-0009,2025-01-12 12:00:00,Bill Payment,293.64
a1d919bf-1d66-4b1d-95c4-0c0bb81cb472,ACCT-0009,2025-01-12 13:00:00,Peer-to-Peer Transfer,140.91
9031f7bf-aaef-4b8d-bdbc-02c5d962d6f3,ACCT-0098,2025-01-12 15:00:00,Card Swipe,39.87
57f0096d-040e-47a2-aace-0cc46aa5efae,ACCT-0009,2025-01-12 16:00:00,Card Swipe,102.06
23941023-d293-4d8e-a588-eab12790dad7,ACCT-0052,2025-01-13 08:00:00,Card Swipe,90.36
f2b252e6-0233-4469-a576-126821a03772,ACCT-0077,2025-01-13 09:00:00,Card Swipe,89.26
60bdbde8-beb6-4029-8c03-6624fa7037a4,ACCT-0273,2025-01-13 09:00:00,Card Swipe,87.28
06109556-9c7f-40af-954c-050ab8515eee,ACCT-0247,2025-01-13 17:00:00,Bill Payment,149.68
cd48af23-b2b8-44a1-b68f-4054253d5733,ACCT-0069,2025-01-13 17:00:00,Bill Payment,275.2
0694f717-bd95-4a0b-bb5e-96ee6c237277,ACCT-0179,2025-01-13 18:00:00,Top-Up,839.02
4b1a3123-1543-474d-8e89-906add5cea3f,ACCT-0297,2025-01-14 08:00:00,Top-Up,731.14
de0a5771-58fb-4578-9a45-c781a8695513,ACCT-0024,2025-01-14 09:00:00,Card Swipe,77.03
74409734-7cb2-4b3f-bb2e-80320e5a0586,ACCT-0249,2025-01-14 09:00:00,Peer-to-Peer Transfer,72.8
5c349b9e-e116-4f34-b0f8-3bb339652f92,ACCT-0108,2025-01-14 12:00:00,Bill Payment,183.67
fc4e467c-c3f0-43d5-9ed5-563ca52a85d5,ACCT-0070,2025-01-14 14:00:00,Card Swipe,139.86
caaffb3b-c533-4fb3-85ac-b000c3b9c962,ACCT-0263,2025-01-14 17:00:00,Bill Payment,172.78
6d3fe5bc-1ccf-43bb-ad59-df14564bc5e6,ACCT-0105,2025-01-15 09:00:00,Card Swipe,124.35
